libvisio 0.1.10-1
libvlc 3.0.21-31
libvorbis 1.3.7-4
libvpl 2.15.0-1
libvpx 1.15.2-2
libvterm 0.3.3-2
libwacom 2.16.1-1
libwbclient 2:4.23.2-1
libwebp 1.6.0-2
libwireplumber 0.5.12-1
libwpd 0.10.3-5
libwps 0.4.14-3
libx11 1.8.12-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.38-1
libxcrypt-compat 4.4.38-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxdp 1.5.7-1
libxext 1.3.6-1
libxfce4ui 4.20.2-1
libxfce4util 4.20.1-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.12.3-1
libxkbcommon-x11 1.12.3-1
libxkbfile 1.1.3-1
libxml2 2.15.1-1
libxmlb 0.3.24-1
libxmu 1.2.1-1
libxpm 3.5.17-2
libxpresent 1.0.2-1
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.43-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-18
licenses 20240728-1
lilv 0.24.26-1
linux 6.17.7.arch1-1
linux-api-headers 6.16-2
linux-firmware 20251021-1
linux-firmware-amdgpu 20251021-1
linux-firmware-atheros 20251021-1
linux-firmware-broadcom 20251021-1
linux-firmware-cirrus 20251021-1
linux-firmware-intel 20251021-1
linux-firmware-mediatek 20251021-1
linux-firmware-nvidia 20251021-1
linux-firmware-other 20251021-1
linux-firmware-radeon 20251021-1
linux-firmware-realtek 20251021-1
linux-firmware-whence 20251021-1
linux-headers 6.17.7.arch1-1
llhttp 9.2.1-2
llvm-libs 21.1.4-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
loupe 49.1-1
lpsolve 5.5.2.11-3
lsb-release 2.0.r55.a25a4fc-1
lsd 1.2.0-1
lsof 4.99.5-2
lua 5.4.8-2
lua51-lpeg 1.1.0-4
luajit 2.1.1761727121-1
luarocks 3.12.2-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
mako 1.10.0-1
man-db 2.13.1-1
md4c 0.5.2-1
mdadm 4.4-2
media-player-info 26-1
mercurial 7.1.1-1
mesa 1:25.2.6-1
meson 1.9.1-2
minizip 1:1.3.1-2
mkinitcpio 39.2-5
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20250613-1
mousepad 0.6.5-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.3-1
mpv 1:0.40.0-7
mpv-mpris 1.1-4
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.7-1
multipath-tools 0.13.0-1
nano 8.6-1
ncpamixer 1.3.10-1
ncpamixer-debug 1.3.10-1
ncspot 1.3.1-2
ncurses 6.5-4
ndctl 79-1
neon 0.35.0-1
neovim 0.11.5-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.1-1
ninja 1.13.1-2
nm-connection-editor 1.36.0-1
node-gyp 11.5.0-1
nodejs 25.1.0-3
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.11.01-1
noto-fonts-emoji 1:2.051-1
npm 11.6.2-1
npth 1.8-1
nspr 4.37-1
nss 3.117-1
numactl 2.0.19-1
numix-icon-theme-git 25.01.31.r0.ga6e6bf9f1-1
nvm 0.40.3-1
nvtop 3.2.0-1
nwg-displays 0.3.26-1
nwg-look 1.0.6-1
obsidian 1.9.14-1
ocl-icd 2.3.3-1
onefetch 2.25.0-1
oniguruma 6.9.10-1
openal 1.24.3-2
opencode-bin 1.0.20-1
opencore-amr 0.1.6-2
openjpeg2 2.5.4-1
openmp 21.1.4-1
openmpi 5.0.8-5
openpmix 5.0.9-1
openssh 10.2p1-2
openssl 3.6.0-1
openucx 1.19.0-3
opus 1.5.2-1
opusfile 0.12-4
orc 0.4.41-1
os-prober 1.83-1
otf-codenewroman-nerd 3.4.0-1
otf-font-awesome 7.1.0-1
p11-kit 0.25.10-2
pacman 7.0.0.r6.gc685ae6-6
pacman-contrib 1.13.0-1
pacman-mirrorlist 20251021-1
pahole 1:1.30-2
pam 1.7.1-1
pambase 20250719-1
pamixer 1.6-3
pango 1:1.57.0-2
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.0-3
perl 5.42.0-1
perl-clone 0.47-2
perl-curses 1.45-3
perl-encode-locale 1.05-14
perl-error 0.17030-2
perl-file-listing 6.16-5
perl-html-parser 3.83-2
perl-html-tagset 3.24-3
perl-http-cookiejar 0.014-4
perl-http-cookies 6.11-3
perl-http-daemon 6.16-5
perl-http-date 6.06-4
perl-http-message 7.01-1
perl-http-negotiate 6.01-15
perl-io-html 1.004-7
perl-libwww 6.81-1
perl-lwp-mediatypes 6.04-7
perl-mailtools 2.22-2
perl-net-http 6.24-1
perl-term-animation 2.6-13
perl-timedate 2.33-8
perl-try-tiny 0.32-3
perl-uri 5.34-1
perl-www-robotrules 6.02-15
perl-xml-parser 2.47-3
phonon-qt6 4.12.0-5
phonon-qt6-vlc 0.12.0-5
pinentry 1.3.2-2
pipewire 1:1.4.9-1
pipewire-alsa 1:1.4.9-1
pipewire-audio 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
pixman 0.46.4-1
pkgconf 2.5.1-1
plasma-activities 6.5.1-1
playerctl 2.4.1-4
polkit 126-2
polkit-kde-agent 6.5.1-1
polkit-qt6 0.200.0-1
poppler 25.10.0-1
poppler-glib 25.10.0-1
poppler-qt6 25.10.0-1
popt 1.19-2
portaudio 1:19.7.0-3
pps-tools 1.0.3-2
procps-ng 4.0.5-3
protobuf 33.0-2
prrte 3.0.12-1
psmisc 23.7-1
pugixml 1.15-2
pybind11 3.0.1-1
pyprland 2.4.7-0
pyprland-debug 2.4.7-0
python 3.13.7-1
python-aiofiles 24.1.0-2
python-argcomplete 3.6.2-1
python-attrs 25.4.0-1
python-autocommand 2.2.2-7
python-build 1.3.0-1
python-cachecontrol 1:0.14.3-1
python-cachy 0.3.0-11
python-cairo 1.28.0-1
python-certifi 2025.10.05-1
python-cffi 2.0.0-1
python-charset-normalizer 3.4.4-1
python-cleo 1:2.1.0-1
python-clickgen 2.2.5-1
python-contourpy 1.3.3-1
python-crashtest 0.4.1-4
python-cryptography 46.0.3-1
python-cssselect 1.3.0-1
python-cycler 0.12.1-3
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-distlib 0.4.0-1
python-distutils-extra 2.39-14
python-dulwich 0.24.8-1
python-fastjsonschema 2.21.2-1
python-filelock 3.20.0-1
python-findpython 0.7.0-1
python-fonttools 4.60.1-1
python-gmpy2 2.2.1-2
python-gobject 3.54.5-1
python-html5lib 1.1-15
python-i3ipc 2.2.1-8
python-idna 3.11-1
python-installer 0.7.0-10
python-jaraco.classes 3.4.0-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jeepney 0.9.0-1
python-jinja 1:3.1.6-1
python-joblib 1.4.2-2
python-jsonschema 4.25.1-1
python-jsonschema-specifications 2025.9.1-1
python-keyring 25.6.0-1
python-kiwisolver 1.4.7-1
python-lark-parser 1.3.1-1
python-lockfile 0.12.2-14
python-lxml 6.0.2-1
python-mako 1.3.10-1
python-markdown 3.10.0-1
python-markupsafe 3.0.2-1
python-matplotlib 3.10.6-1
python-more-itertools 10.8.0-1
python-mpmath 1.3.0-4
python-msgpack 1.0.5-3
python-networkx 3.5-1
python-numpy 2.3.4-1
python-packaging 25.0-1
python-pandas 2.3.1-1
python-pbs-installer 2025.10.28-1
python-pexpect 4.9.0-4
python-pillow 12.0.0-1
python-pip 25.2-1
python-pkginfo 1.12.1.2-1
python-platformdirs 4.5.0-1
python-poetry 2.2.1-1
python-poetry-core 2.2.1-1
python-poetry-plugin-export 1.9.0-1
python-pooch 1.8.2-4
python-ptyprocess 0.7.0-8
python-pycparser 2.23-1
python-pyparsing 3.2.5-1
python-pyproject-hooks 1.2.0-3
python-pyquery 2.0.1-1
python-pytorch 2.9.0-4
python-pytz 2025.2-1
python-pywal16 1:3.8.9-3
python-pywalfox 2.7.4-1
python-rapidfuzz 3.14.3-1
python-referencing 0.37.0-1
python-requests 2.32.5-1
python-requests-toolbelt 1.0.0-3
python-rpds-py 0.28.0-1
python-scikit-learn 1.7.2-1
python-scipy 1.16.3-1
python-secretstorage 3.3.3-6
python-setuptools 1:80.9.0-2
python-shellingham 1.5.4-3
python-six 1.17.0-1
python-sympy 1.14.0-1
python-threadpoolctl 3.5.0-2
python-toml 0.10.2-12
python-tomlkit 0.13.3-1
python-torchaudio 2.9.0-1
python-torchaudio-debug 2.9.0-1
python-torchvision 0.23.0-6
python-tqdm 4.67.1-2
python-trove-classifiers 2025.9.11.17-1
python-typing_extensions 4.15.0-1
python-urllib3 2.5.0-2
python-virtualenv 20.35.4-1
python-webencodings 0.5.1-12
